0	6	5
6	0	5
0	7	25
7	0	25
0	8	3
8	0	3
0	9	1
9	0	1
0	16	8
16	0	8
0	18	20
18	0	20
1	5	7
5	1	7
1	8	12
8	1	12
1	10	9
10	1	9
1	16	13
16	1	13
1	17	14
17	1	14
2	6	21
6	2	21
2	9	3
9	2	3
3	11	20
11	3	20
3	15	10
15	3	10
4	5	2
5	4	2
4	7	13
7	4	13
4	12	6
12	4	6
5	6	12
6	5	12
5	7	11
7	5	11
5	8	25
8	5	25
5	10	21
10	5	21
5	15	2
15	5	2
6	14	7
14	6	7
6	16	21
16	6	21
7	8	25
8	7	25
7	10	15
10	7	15
7	13	25
13	7	25
7	14	1
14	7	1
8	12	6
12	8	6
8	15	13
15	8	13
8	19	19
19	8	19
11	15	4
15	11	4
11	16	14
16	11	14
11	17	14
17	11	14
12	18	4
18	12	4
12	19	3
19	12	3
13	14	16
14	13	16
